definition,answer,occurrences,example_clue,approve
most vulgar,TAWDRIEST,1,Most vulgar traits we'd worked on,
most watchful,OBSERVANT,1,"Most watchful, bravest on manoeuvres",
moth,CINNABAR,1,Brain can confuse a moth,
motivate,DRIVE,1,Motivate arrangement of Verdi,
motoring skill,THREEPOINTTURN,1,Nth trip en route involved particular motoring skill,
mould,STEREOTYPE,1,See pottery cast in mould,
moulding,CINZANO,1,It's on a zinc moulding,
mountain ash,ROWANTREE,1,Ruined tower near mountain ash,
mountaineer,MUNRO,1,Mourn lost mountaineer,
mountainous region,NEPALI,1,Alpine characters shifted from mountainous region,
mourning his wife,ORPHEUS,1,Rue posh distressed musician mourning his wife,
mouth,DELTAIC,2,New dialect coming from area around mouth?,
mouth-to-mouth resuscitation,OSCULAR,1,Mouth-to-mouth resuscitation of carolus,
mouth-watering,SALIVATION,1,Mouth-watering mixture of oils in a vat,
movie,SHOOT-EM-UP,1,Pose with mouth snarled in violent movie,
movie,PLAYMISTYFORME,1,Criminal from a timely spy movie,
movie buffs demanding reboot,CINEPHILES,1,Movie buffs demanding reboot of Chile Pines,
mp's banker,SAFESEAT,1,See a fast scramble to be an MP's banker,
mr hornby's,TRAINSET,1,Mr Hornby's work of art I sent off,
much showing-off,VAUNTINGLY,1,Ungainly TV set to change with much showing-off,
muddy feet,ANAPAESTS,1,A peasant's muddy feet,
muezzin supporter,MINARET,1,Time ran out for muezzin supporter,
mug,FEATURES,1,Mug smashed after use,
mugs,SAPS,1,Pass around the mugs,
multi-coloured trifles,KALEIDOSCOPE,1,I'd please cook with creation of multi-coloured trifles,
multitude,FIVE THOUSAND,1,Multitude possibly fed Hovis and tuna,
municipal,MANSIONHOUSE,1,Municipal building in USA involved with moonshine,
murdered,VLADIMIRLENIN,1,"In villa, minder murdered",
murdered,ELIMINATED,1,Crook lied and inmate murdered,
murderous scottish couple attach,THEMACBETHS,1,Murderous Scottish couple attach odd batches to them,
muscateer,OMANI,1,"Muscateer? That's spelt wrong, I moan!",
music,CHANTS,1,Unusual snatch of music?,
music,STUDIES,1,It's used to compose pieces of music,
music,AGITATO,1,A gait adapted to stirring music,
music group,INDIE,1,I dine out with a music group,
music teacher,CHOIRMASTER,1,Music teacher has organised riot marches,
musical,TREMOLO,1,Musical shake? Lot more wobbly!,
musical,FINIANSRAINBOW,1,Musical info in brain was varied,
musical,BREAKDANCE,1,Musical acrobatics could produce bad neck and ear,
musical,SHOWBOAT,1,"Musical for two, bosh with a difference",
musical device,TREMOLO,1,"Musical device in room, let out",
musical drama,THEBEGGARSOPERA,1,A. Berg's great hope is to produce a musical drama,
musical number,BARCELONA,1,Ben and Carol composed a musical number,
musical symbol,TENORCLEF,1,Musical symbol lent force in new arrangement,
musically,RHAPSODIC,1,Musically irregular concoction of harp and disco,
music-maker,GHETTOBLASTER,1,"Dancing, gather bottles and music-maker",
"musing, having",DREAMY,1,"Musing, having read my novel",
muslim autocracy,SULTANATE,1,Aunts et al badly treated in Muslim autocracy,
must find enlightenment,INSIGHT,1,... confuse things? I must find enlightenment,
mutton fat,LANOLIN,1,Mutton fat is in all no different,
mutual support,SYMBIOSIS,1,Mutual support for boys? I miss out,
my arm,INSIST,1,It's sin  …  perhaps you could twist my arm!,
my breeding activity’s frowned upon,ADULTERER,1,My breeding activity’s frowned upon possibly producing ultra,
myself,INDISGUISE,1,"I sing - I used, anyway - not looking myself",
mythical murderer,PROCRUSTES,1,Mythical murderer misleading court and press,
mythological beast,CRETAN BULL,1,Mythological beast in Antler Club misbehaving,
nag,ROAN,1,Nora Batty's a nag,
naivety,CREDULOUSNESS,1,"Unfortunately, scoundrels use naivety",
naked bodies,NUDITY,1,Naked bodies in untidy mess,
name,ANSWERSTO,1,"""Dreadful waster"" son has as name",
name,CYNTHIA,1,Name an itchy eruption,
name,NADINE,1,Name Dianne differently,
name 22,FERRIS,1,Friers give a name 22,
narrowly constricted,INSULAR,1,"Original urinals, narrowly constricted",
nasa project,MANINSPACE,1,NASA project failing means panic,
nation,ARMENIA,1,Remain at odds over a nation,
national organisation,ENGLISHHERITAGE,1,This ginger ale he brewed for a national organisation,
national symbol,MARIANNE,1,Redesigned Armenian national symbol,
nationalist leader,GANDHI,1,Nationalist leader had gin cocktail,
nationals,SOUTHAFRICANS,1,Nationals chant of Russia in revolution,
native embroidery,ETHNICAL,1,Native embroidery of thin lace,
naturalistic religion,PAGANISM,1,Main gaps teased out in naturalistic religion,
naturally,FIRCONE,1,"It comes from a conifer, naturally",
nature,BOY-MEETS-GIRL,1,Be involved with grisly tome of a romantic nature,
nautical terms,EASTINGS,1,Nautical terms negotiated in stages,
navigational guide,LODESTAR,1,"Navigational guide read, lost at sea",
near 24,OADBY,1,A body decomposed near 24,
near egypt,REDSEA,1,A reed’s cultivated in area near Egypt,
near here,KARACHI,1,Is chikara played near here?,
near westward ho,NORTHAM,1,Rothman in trouble near Westward Ho!,
nearer lancaster than croston,SCORTON,1,Consort crashed (nearer Lancaster than Croston),
neat motivation,CATTLEPROD,1,Protect lad in a way that gives neat motivation,
neck warmer,FEATHER BOA,1,"Before a hat removed, neck warmer?",
neckwear tied,ETONCOLLAR,1,Neckwear tied on a roll etc,
need,FORCEDLANDING,1,"Need to go to ground in England, for CID are circling",
needed,ASPIRIN,1,"Sprain I developed, painkiller needed",
needed,MARASCHINO,1,Charmian so upset - a drink is needed,
needed,VEGETARIANLUNCH,1,Nuts? Raving: then a clue is needed,
needed protective covering,BELLJAR,1,The real LBJ needed protective covering,
needleworker,ACUPUNCTURIST,1,Needleworker accidentally cut up curtains,
negative image,ROTOGRAPH,1,Poor Garth suffering negative image,
"neither wet nor dry, which",NEMATIC,1,"Neither wet nor dry, which stirs the cat in me",
neophiliac’s line may,RINGINTHENEW,1,Neophiliac’s line may be winning there,
nerve agent,DOPAMINE,1,Mobilise PM on idea for nerve agent,
nerveless behaviour,SANGFROID,1,"Nerveless behaviour, if dragons are flying around",
neural centre,BRAINSTEM,1,Neural centre developed in tribesman,
neurologist,BRAINSPECIALIST,1,Neurologist throws out crisp banalities,
neurotic,HYSTERIA,1,Say their trouble is neurotic,
neurotransmitter,SEROTONIN,1,Nine roots developed into neurotransmitter,
never-ending,INCESSANT,1,An insect's work is never-ending,
newspaper supplement,INSERT,1,"Newspaper supplement, perhaps, is rent asunder",
newspapermen,EDITORS,1,Newspapermen could be so tired,
newspapers,TABLOIDS,1,Eccentric ad-libs to newspapers,
newspapers etc,PRINTMEDIA,1,Newspapers etc misrepresented maiden trip,
newspaper's stances,EDITORIALS,1,Real idiots misrepresented newspaper's stances,
next,BYTHESIDEOF,1,"Next to his body, feet moved",
nibbles,CHEESESTRAWS,1,Sees war chest spent on nibbles,
nice,COTE D&#039;AZUR,1,Nice area dour Aztec developed,
nice,UNLIKABLE,1,"Drunk in bulk, ale is not nice",
nice,NASTIER,1,Aster in ground is not so nice,
nice region,COTEDAZUR,1,Nice region dour Aztec trashed,
nicholas,TSAR,1,Nicholas possibly provides star turn,
night,FEATHERBED,1,Fed herb tea settling down for the night,
night vision,NEW MOON,1,Women turned on night vision?,
nimrod,ENIGMATIST,1,Nimrod perhaps isn't game to mess about with it,
nine columns,ENNEASTYLE,1,Neatens Ely development with nine columns,
nine-angled,ENNEAGONAL,1,Nine-angled lane? One nag is confused,
ninth one,STARSIGN,1,A string’s bent by the ninth one?,
nipper's picture,HIS MASTER’S VOICE,1,"Christmas Eve, so I shot Nipper's picture",
no 1,SMASH HIT,1,No 1 exercise: his maths,
"no application, practically",PUREMATHEMATICS,1,"Amateurish PC met with destruction – it has no application, ",
no bottom,TAILLESS,1,Rough sea still appears to have no bottom,
no fishing here,THEDEADSEA,1,"Headed east to order: ""No fishing here!""",
no great size,INCONSIDERABLE,1,Prepared sociable dinner of no great size,
no idea,WHEREAMI,1,"Lost in Weimar, eh? No idea!",
no idea how,NOTACLUE,1,No idea how to clean out in a mess,
no limits,ABSOLUTE,1,No limits to usable accommodation,
no love,HATEMAIL,1,No love letters from him: a late developer,
no lover,HATER,1,No lover has a broken heart,
no money,UNSALARIED,1,"Broke, alas, and ruined with no money",
no need,GRATUITOUSLY,1,Guy's tutorial rearranged with no need,
no one against,UNOPPOSED,1,No one against pound/peso exchange,
no reaction,PASSIVE,1,VIP's sea travels producing no reaction,
no resistance,PATHIC,1,A pitch maybe offering no resistance,
no thoroughbred,CART-HORSE,1,No thoroughbred in unusually short race,
no worries,NEVERFEAR,1,"Raven free to fly around, no worries",
nobel peace prize winner,DESMOND TUTU,1,Dude must not upset Nobel Peace Prize winner,
no-frills sexual liaison,TWOSOME,1,Pound Tom owes for no-frills sexual liaison?,
nominal inheritance,PATRONYM,1,"Nominal inheritance, misguided on my part",
non-attentive people,ABSENTEES,1,A bees' nest disturbed by non-attentive people?,
nonchalance,EASINESS,1,Nonchalance in a sense is affected,
nonchalantly,TRAIPSE,1,Drunken pirates move nonchalantly,
non-commital answer,YESANDNO,1,Andy's one to provide a non-commital answer,
non-committal answer,YESANDNO,1,Andy's one to provide a non-committal answer,
non-ministerial department,HIS MAJESTY'S REVENUE AND CUSTOMS,1,"Yes, J. Hunt uses inverted commas as poorly in a non-ministe",
nonsense,UNREASON,1,Nouns are irregular? Nonsense!,
nonsensical update,REFRESHERCOURSE,1,Rescuers here for nonsensical update,
nonstop flights,ESCALATORS,1,Seats Carol ordered for nonstop flights,
nor him,YOUNGSTER,1,Turning grey? Not us - nor him,
normal vision,ORTHOPTIC,1,Rich opt to correct with normal vision,
north africa,TUNIS,1,Units deployed in North Africa,
north africans,EGYPTIANS,1,I spy agent mingling with North Africans,
north american marmots,PRAIRIEDOGS,1,Roger is paid for training North American marmots,
north country,CALEDONIA,1,Laodicean version of the North country,
north germany,LUBECK,1,Be in luck in north Germany,
north wales,LLANFAIR,1,Unusual rainfall in North Wales,
northern counties division,WAPENTAKE,1,Northern Counties Division fans at new peak,
northumberland footballers,BLYTHSPARTANS,1,Northumberland footballers shattered by blast - shan't pry,
norwegian coast,NORTHCAPE,1,Chapter on wild part of Norwegian coast,
nose job,RHINOPLASTY,1,Split a horny model's nose job,
notable trials,CAUSES CELEBRES,1,CBS uses reel ace edited in Notable Trials,
notches,INDENTS,1,Loose end isn't for notches,
noted,TYPEWRITTEN,1,Twine pretty twisted? Noted!,
noted publication,SHEET MUSIC,1,EU chemists misrepresented in noted publication,
notes man,VAUGHAN WILLIAMS,1,"Was having allium prepared, notes man?",
nothing up north,NOWT,1,Town produced nothing up north,
notice,ESPIAL,1,Notice doctor sip ale,
notion tory,BIGSOCIETY,1,Notion Tory created by egoistic fiddling,
notorious governor,PONTIUSPILATE,1,Notorious governor made pupil sit at one,
not-to-be-forgotten,MEMORABLE,1,"Not-to-be-forgotten amble about Rome, perhaps",
noun,NITROGEN,1,"""Noun"" in Roget represented as N",
novelist,SEBASTIANFAULKS,1,"""Translation suitable?"" asks fan of novelist",
novelist,AGATHACHRISTIE,1,Novelist has a stage hit: 'A Rich Model',
novelist gets,ANNEBRONTE,1,"Novelist gets near, bent on  ...",
now,POSTSEASON,1,So one's past playing - now?,
now 6 across 22 across 2,SPEKE,1,Now 6 across 22 across 2 keeps going off,
now stop,TIMESUP,1,"Impetus lost, now stop",
nudge nudge wink wink,RISQUE,1,"Dodgy, squire (nudge nudge wink wink)!",
number,YOU'VE GOT A FRIEND,1,"After reform, due to forgive any number",
number,PAGINATE,1,Number of letters from giant ape,
number,IMAGINARY,1,I may ring a wrong sort of number,
number 21,SCANDIUM,1,Music and dancing to number 21?,
numerical superiority,PREDOMINANCE,1,"Numerical superiority compared with nine, oddly",
numerous functions,ALL-PURPOSE,1,Pops out with Laurel for numerous functions,
nurse’s job,TRIAGE,1,Nurse’s job? Get air supply,
nursery,FAIRYTALES,1,Safety rail adapted for the nursery?,
nursery rhyme,ONEMANWENTTOMOW,1,No women want me to change nursery rhyme,
nurturing seed,PARENTAL,1,A planter involved in nurturing seed,
nutritious,ALIMENTAL,2,All meat in stew is nutritious,
oak,KINGOFTHEFOREST,1,Oak tree OK? Nights off to be arranged,
oasis,WATERING PLACE,1,"Oasis panic, greet law roughly",
obedient monkey,CONTROLLABLE,1,Obedient monkey with belt on collar,
obediently,DUTEOUSLY,1,Obediently performing lousy duet,
object,RAISEHELL,1,"Here all is false, so object",
objection,RECALCITRANCE,1,Objection to client in race car crash,
objects,RESENTS,1,Objects to Ernest's replacement,
obligation,UNBEHOLDEN,1,Is Helen bound over to be free of obligation?,
obscene manner,PRURIENTLY,1,"Pertly ruin gathering, in an obscene manner",
obscure,HIDDEN AGENDA,1,Obscure end eg Dina had?,
obscure,OBFUSCATE,1,Obscure cafe — but so original,
obscure textual critic,EMENDATOR,1,Remote and obscure textual critic,
observations,PARKINSONSLAW,1,"Devious work plans, as in this person's observations",
obstinacy,PERVERSITY,1,Priest very disposed to obstinacy,
obstinately,PERSIST,1,"Press it, rudely and obstinately?",
obtain advantage,BENEFIT,1,Obtain advantage from unusually fine bet,
obtaining vegetable,SNOWPEA,1,"Weapon’s deployed, obtaining vegetable",
obtains goods without paying,ONCREDIT,1,Odd doctrine obtains goods without paying,
obvious home,EALING,1,Obvious home of genial comic!,
occasion just passed,APRIL FOOLS' DAY,1,"I'd rally with a spoof, possibly the occasion just passed?",
odyssey,PEREGRINATOR,1,Rare trip gone wrong for person on odyssey,
offbeat artist,BOHEMIAN,1,Offbeat artist? Throw him a bone,
off-colour,RISQUE,1,Drunken squire is off-colour,
offensive language,OATHS,1,Has to change offensive language,
offensive recording,VIDEONASTY,1,One day TV is to be free of offensive recording,
offensive? who knows,SEARCHME,1,See about charm offensive? Who knows?,
offer,INTRODUCE,1,Offer fantastic reduct­ion,
offer beef substitute,HORSEMEAT,1,A rest home prepared to offer beef substitute?,
offer transfer,OBLATION,1,Offer transfer to Albion,
offers little competition,ONE-HORSE RACE,1,Career he soon abandoned – it offers little competition,
office equipment,TYPEWRITER,1,Broken wire in pretty awful office equipment,
offices etc,WORKPLACES,1,Lacks power supply in offices etc,
official,PROSECUTOR,1,Court poser upset court official,
officially christian,UNBAPTISED,1,Convert in Budapest not officially Christian?,
officially restricted,UNCENSORED,1,Variant non-U creeds not officially restricted,
off-putting,PROCRASTINATION,1,Rubbish in Croatian port's off-putting,
oggies,CORNISHPASTIES,1,Eats with chips.? No sir! Not normally oggies,
oil,ILANGILANG,1,Unexpectedly gaining all oil,
oil-producing,ANOINT,1,Oil-producing nation,
old,BIREME,1,Old craft beer I'm brewing,
old,ANCIEN REGIME,1,Old order from EEC remaining uncertain,
old,PICAROONS,1,Old rogues could be let loose in Capri soon,
old algerian soldier,TURCO,1,Old Algerian soldier serving a foreign court,
old american icon,THELONERANGER,1,Northern eagle represented old American icon,
old banger,GUNCOTTON,1,Count on GT form for an old banger,
old beast,PTEROSAUR,1,Ground or pasture for old beast,
old boys' network,TRAINSET,1,Compound of nitrates in old boys' network?,
old british leader,PALMERSTON,1,Dicky tramples on old British leader,
old car,MGMETRO,1,Grommet fails in old car,
